date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76
2016-01-01,7.0,7.0,13.0,3.0,7.0,21.0,8.0,44.0,0.0,4.0,4.0,4.0,5.0,9.0,16.0,16.0,6.0,1.0,20.0,6.0,16.0,26.0,32.0,27.0,67.0,22.0,26.0,37.0,44.0,23.0,12.0,25.0,4.0,3.0,12.0,4.0,1.0,13.0,4.0,10.0,5.0,10.0,27.0,23.0,4.0,22.0,1.0,4.0,20.0,6.0,4.0,6.0,17.0,5.0,2.0,6.0,4.0,7.0,3.0,3.0,21.0,1.0,13.0,5.0,8.0,26.0,24.0,24.0,25.0,3.0,22.0,1.0,15.0,4.0,7.0,6.0,6.0
2016-01-02,9.0,7.0,10.0,2.0,6.0,16.0,16.0,28.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,4.0,2.0,7.0,1.0,5.0,18.0,20.0,12.0,38.0,9.0,12.0,24.0,17.0,9.0,8.0,26.0,2.0,0.0,7.0,0.0,2.0,11.0,3.0,4.0,2.0,9.0,19.0,12.0,1.0,7.0,0.0,4.0,9.0,3.0,5.0,5.0,8.0,4.0,0.0,1.0,2.0,6.0,3.0,5.0,9.0,3.0,3.0,1.0,1.0,8.0,19.0,13.0,10.0,5.0,24.0,2.0,7.0,0.0,1.0,3.0,4.0
2016-01-03,7.0,7.0,4.0,5.0,3.0,13.0,20.0,34.0,0.0,3.0,2.0,0.0,2.0,6.0,9.0,1.0,1.0,1.0,12.0,0.0,4.0,13.0,22.0,15.0,35.0,17.0,10.0,19.0,27.0,9.0,7.0,23.0,6.0,4.0,7.0,2.0,4.0,4.0,2.0,2.0,2.0,9.0,19.0,21.0,3.0,13.0,1.0,2.0,8.0,4.0,4.0,1.0,3.0,4.0,2.0,6.0,0.0,5.0,4.0,9.0,10.0,3.0,2.0,0.0,5.0,15.0,20.0,17.0,16.0,4.0,21.0,0.0,8.0,2.0,4.0,3.0,4.0
2016-01-04,7.0,6.0,9.0,2.0,0.0,13.0,10.0,25.0,2.0,5.0,3.0,1.0,4.0,8.0,10.0,5.0,6.0,1.0,14.0,4.0,4.0,12.0,17.0,18.0,35.0,7.0,9.0,21.0,17.0,10.0,5.0,18.0,8.0,1.0,6.0,1.0,4.0,9.0,3.0,7.0,6.0,6.0,21.0,17.0,1.0,11.0,0.0,2.0,17.0,4.0,6.0,5.0,4.0,5.0,0.0,2.0,3.0,14.0,1.0,6.0,7.0,6.0,5.0,0.0,13.0,14.0,20.0,19.0,9.0,5.0,18.0,2.0,4.0,0.0,8.0,4.0,8.0
2016-01-05,7.0,6.0,14.0,2.0,1.0,10.0,12.0,20.0,0.0,0.0,1.0,1.0,1.0,6.0,10.0,9.0,2.0,2.0,11.0,9.0,3.0,17.0,11.0,18.0,47.0,19.0,11.0,30.0,24.0,9.0,6.0,32.0,6.0,2.0,5.0,5.0,1.0,8.0,6.0,7.0,5.0,6.0,18.0,15.0,2.0,8.0,0.0,4.0,14.0,2.0,5.0,1.0,7.0,1.0,0.0,3.0,1.0,8.0,1.0,2.0,12.0,6.0,2.0,2.0,3.0,10.0,13.0,21.0,12.0,3.0,14.0,1.0,7.0,4.0,6.0,5.0,3.0
2016-01-06,5.0,8.0,9.0,5.0,3.0,14.0,11.0,28.0,0.0,1.0,2.0,2.0,3.0,3.0,10.0,6.0,4.0,1.0,19.0,1.0,7.0,13.0,17.0,21.0,44.0,18.0,10.0,22.0,15.0,12.0,6.0,22.0,7.0,1.0,10.0,1.0,1.0,9.0,4.0,7.0,0.0,6.0,14.0,12.0,4.0,10.0,0.0,4.0,17.0,2.0,3.0,1.0,6.0,0.0,2.0,6.0,2.0,6.0,3.0,7.0,10.0,5.0,7.0,0.0,4.0,20.0,14.0,11.0,16.0,7.0,15.0,1.0,11.0,2.0,6.0,1.0,3.0
2016-01-07,13.0,11.0,3.0,4.0,5.0,17.0,7.0,23.0,2.0,2.0,2.0,0.0,2.0,2.0,13.0,13.0,6.0,0.0,19.0,2.0,3.0,7.0,24.0,15.0,47.0,17.0,15.0,24.0,19.0,11.0,8.0,31.0,5.0,1.0,5.0,1.0,2.0,6.0,4.0,8.0,3.0,11.0,26.0,16.0,6.0,16.0,1.0,2.0,22.0,0.0,8.0,5.0,6.0,3.0,3.0,6.0,2.0,9.0,7.0,4.0,9.0,3.0,15.0,2.0,1.0,14.0,19.0,15.0,19.0,4.0,19.0,2.0,10.0,1.0,4.0,5.0,8.0
2016-01-08,11.0,7.0,9.0,3.0,6.0,25.0,13.0,27.0,0.0,5.0,1.0,1.0,1.0,8.0,8.0,9.0,4.0,2.0,14.0,4.0,3.0,14.0,26.0,22.0,46.0,16.0,14.0,26.0,19.0,10.0,7.0,19.0,4.0,4.0,8.0,3.0,2.0,5.0,3.0,8.0,5.0,6.0,26.0,21.0,1.0,14.0,1.0,4.0,15.0,3.0,7.0,1.0,13.0,1.0,1.0,5.0,2.0,12.0,7.0,3.0,15.0,1.0,19.0,1.0,8.0,17.0,20.0,23.0,16.0,10.0,18.0,0.0,10.0,2.0,4.0,4.0,7.0
2016-01-09,6.0,4.0,10.0,5.0,3.0,21.0,8.0,27.0,0.0,4.0,2.0,3.0,0.0,2.0,5.0,6.0,5.0,1.0,11.0,1.0,6.0,12.0,22.0,18.0,41.0,15.0,10.0,28.0,21.0,9.0,3.0,25.0,0.0,6.0,5.0,1.0,0.0,11.0,0.0,3.0,6.0,5.0,15.0,19.0,4.0,12.0,0.0,0.0,20.0,2.0,5.0,4.0,8.0,4.0,2.0,6.0,2.0,6.0,2.0,4.0,18.0,2.0,6.0,2.0,5.0,16.0,20.0,21.0,17.0,4.0,22.0,3.0,8.0,2.0,6.0,1.0,8.0
2016-01-10,8.0,8.0,8.0,5.0,3.0,13.0,12.0,28.0,1.0,1.0,4.0,0.0,2.0,8.0,7.0,6.0,3.0,0.0,15.0,10.0,3.0,15.0,21.0,10.0,24.0,13.0,13.0,17.0,17.0,12.0,6.0,13.0,4.0,0.0,1.0,2.0,2.0,3.0,4.0,9.0,5.0,8.0,19.0,11.0,3.0,9.0,2.0,4.0,14.0,1.0,3.0,5.0,15.0,4.0,0.0,4.0,3.0,4.0,2.0,4.0,22.0,2.0,5.0,1.0,6.0,13.0,14.0,21.0,13.0,6.0,15.0,1.0,10.0,1.0,6.0,2.0,1.0
2016-01-11,8.0,6.0,3.0,0.0,2.0,8.0,5.0,22.0,0.0,1.0,3.0,2.0,2.0,6.0,8.0,7.0,3.0,1.0,9.0,1.0,5.0,7.0,7.0,12.0,37.0,9.0,7.0,18.0,9.0,13.0,5.0,19.0,5.0,4.0,4.0,1.0,0.0,8.0,5.0,5.0,7.0,7.0,18.0,16.0,2.0,8.0,0.0,5.0,12.0,2.0,0.0,1.0,13.0,1.0,0.0,3.0,2.0,5.0,1.0,3.0,12.0,5.0,6.0,1.0,3.0,10.0,8.0,11.0,23.0,5.0,17.0,4.0,6.0,1.0,3.0,3.0,7.0
2016-01-12,7.0,9.0,8.0,1.0,2.0,14.0,3.0,16.0,0.0,3.0,1.0,0.0,2.0,9.0,8.0,3.0,2.0,3.0,12.0,3.0,5.0,15.0,12.0,18.0,29.0,12.0,6.0,16.0,25.0,13.0,5.0,20.0,6.0,2.0,4.0,1.0,1.0,5.0,2.0,5.0,1.0,15.0,23.0,7.0,3.0,10.0,0.0,1.0,14.0,2.0,3.0,1.0,8.0,1.0,0.0,5.0,3.0,3.0,4.0,3.0,13.0,4.0,3.0,1.0,4.0,20.0,21.0,7.0,10.0,5.0,14.0,1.0,10.0,1.0,5.0,4.0,6.0
2016-01-13,12.0,11.0,9.0,1.0,7.0,14.0,4.0,20.0,2.0,7.0,2.0,1.0,1.0,7.0,13.0,9.0,5.0,1.0,12.0,2.0,9.0,14.0,13.0,12.0,37.0,11.0,16.0,24.0,16.0,17.0,9.0,26.0,6.0,4.0,13.0,0.0,1.0,9.0,6.0,2.0,8.0,6.0,23.0,6.0,3.0,7.0,1.0,7.0,15.0,1.0,11.0,1.0,7.0,3.0,0.0,2.0,5.0,9.0,2.0,9.0,14.0,1.0,6.0,4.0,5.0,11.0,12.0,15.0,18.0,9.0,20.0,1.0,4.0,3.0,3.0,2.0,6.0
